"A total of %1 record(s) have been deleted","Um total de %1 registro(s) foi excluído"
"Something went wrong while deleting log %1. %2","Algo deu errado ao excluir o Log %1. %2"
"The order can't be placed.","Erro ao finalizar o pedido. Em caso de dúvidas, entrar em contato pelo Whatsapp (14) 99720-0064."
"Something went wrong while add blacklist items %1. %2","Algo deu errado ao adicionar itens à lista negra %1. %2"
"A total of %1 record(s) have been blacklist","Um total de %1 registro(s) foram colocados na lista negra"
"Something went wrong while remove items from blacklist %1. %2","Algo deu errado ao remover itens da lista negra %1. %2"
"A total of %1 record(s) have been removed from blacklist","Um total de %1 registro(s) foram removidos da lista negra"
"Payment Guard Configuration","Configurações do Payment Guard"
"Enabled","Habilitado"
"Transactions Limit","Limite de transações"
"Transactions limit for blocking","Limite de transações para bloqueio"
"Time Interval","Intervalo de Tempo"
"Time Interval in minutes for Order","Intervalo de tempo em minutos para Pedidos"
"Delete","Excluir"
"Delete items","Excluir itens"
"Are you sure you want to delete the selected items?","Tem certeza de que deseja excluir os itens selecionados?"
"Add To Blacklist","Adicionar à lista negra"
"Add To Blacklist items","Adicionar itens à lista negra"
"Are you sure you want to blacklist the selected items?","Tem certeza de que deseja colocar os itens selecionados na lista negra?"
"Remove From Blacklist","Remover da lista negra"
"Remove items from Blacklist","Remover itens da lista negra"
"Are you sure you want remove selected items from blacklist?","Tem certeza de que deseja remover os itens selecionados da lista negra?"
"User IP","IP do usuário"
"Store","Loja"
"Blacklist Status","Status da lista negra"
"Blocked","Bloqueado"
"Unlocked","Desbloqueado"
"User Emails","Emails do Usuário"
"Attempts Limit","Limite de Tentativas"
"Attempts limit for blocking","Limite de Tentativas para bloqueio"
"Time Interval for Attempts","Intervalo de Tempo para as Tentativas"
"Time Interval in minutes for attempts","Intervalo de Tempo em minutos para as Tentativas"
"Last Attempt","Ultima tentativa"
"Attempts","Tentativas"
